# VAAKKU ASR bake-off (build plan §11.3 item 2, gate G2)
# device: vivo I2501 (I2501), SoC=QTI SM8850, rom=PD2505CF_EX_A_16.0.24.1.W30, sdk=36
# captured_at: 2026-09-12T18:34:03.198+05:30
# num_threads: 4
# rtf = decode_ms / audio_ms; budget is <= 0.50 (§11.5)
# engine 5 (ANDROID_ON_DEVICE) is absent: it owns the mic and cannot be fed a WAV.
# slot accuracy covers T01-T14 only. R01_demo_pitch runs for RTF but is not scored (counts_for_accuracy=0): it is the pitch we perform, not a test case, and its six expected claims would otherwise be a quarter of the denominator.
# T11_numbers expects zero claims by design, so it scores 0/0. That is the correct result, not a gap — but it also means this table cannot show T11 passing.
kind,engine,clip,counts_for_accuracy,segments,audio_ms,decode_ms,rtf,slots_correct,slots_expected,slot_detail,transcript,error
row,SHERPA_WHISPER_TA,R01_demo_pitch.wav,0,4,16428,5236,0.319,1,6,GUARANTEE expected=true actual=true ok; RETURN_RATE expected=8 actual=(nothing extracted) MISS; LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS; BUNDLING expected=true actual=(nothing extracted) MISS; CHARGES expected=false actual=(nothing extracted) MISS,சார் இது எப்டி மாதிரிதான் கேரண்டி பாக்கின் ஒரு வரும்தான் ச பாலிசி எடுத்தால்தான் ோன் ஆக ர் எதுவும் இல்லை சார,
row,SHERPA_WHISPER_TA,T01_guarantee_fd.wav,1,1,5114,1563,0.306,1,2,GUARANTEE expected=true actual=true ok; RETURN_RATE expected=8 actual=(nothing extracted) MISS,சார் இது எப்டி மாதிரிதான் கேரண்டி எ,
row,SHERPA_WHISPER_TA,T02_lockin_liquidity.wav,1,1,4422,1374,0.311,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,லாக்கின் ஒரு வரும்தான் சார்,
row,SHERPA_WHISPER_TA,T03_bundling.wav,1,1,5114,1633,0.319,0,1,BUNDLING expected=true actual=(nothing extracted) MISS,ந்த பாலிசி எடுத்தால் ோன் ஆகும்,
row,SHERPA_WHISPER_TA,T04_charges.wav,1,1,3526,1152,0.327,1,1,CHARGES expected=false actual=false ok,சார்் எதுவும் இல்ல சார்,
row,SHERPA_WHISPER_TA,T05_honest_rate.wav,1,1,7226,2415,0.334,1,2,"GUARANTEE expected=false actual=false ok; RETURN_RATE expected=4,8 actual=4 MISS",ரிட்டன் கேரண்டி இல்ல சார் ்டேன்ல நாலு பர்சன்ட்,
row,SHERPA_WHISPER_TA,T06_honest_lockin.wav,1,1,4858,1595,0.328,0,2,LOCK_IN expected=60 actual=(nothing extracted) MISS; LIQUIDITY expected=nilBefore:60 actual=(nothing extracted) MISS,லாக்கின் அ்சு வரும் அதுக்கு மு,
row,SHERPA_WHISPER_TA,T07_selfcorrect.wav,1,1,4026,1299,0.323,0,1,LOCK_IN expected=60 actual=36 MISS,லாக்கின் மூணு வரும் இல்ல இல்,
row,SHERPA_WHISPER_TA,T08_hedge.wav,1,1,3142,1005,0.320,0,1,RETURN_RATE expected=8 actual=(nothing extracted) MISS,ப்டு எட்டு பர்சென்,
row,SHERPA_WHISPER_TA,T09_conditional.wav,1,1,5466,1791,0.328,0,1,GUARANTEE expected=false actual=true MISS,கேரண்டி இருந்தா எட்டு பர்சன் கிடைக்கு,
row,SHERPA_WHISPER_TA,T10_english.wav,1,1,5766,1871,0.324,0,3,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,ட்் ைக் பிக் ெபாசெட் கரண்ட் எயி,
row,SHERPA_WHISPER_TA,T11_numbers.wav,1,2,4364,1490,0.341,0,0,,பிரீமியம் வருத்த பத்து வரு,
row,SHERPA_WHISPER_TA,T12_formal_tamil.wav,1,1,3654,1155,0.316,1,2,GUARANTEE expected=true actual=true ok; RETURN_RATE expected=8 actual=(nothing extracted) MISS,து உறுதியான எட்டு சதவீ,
row,SHERPA_WHISPER_TA,T13_noisy_T01.wav,1,3,5842,1843,0.315,1,2,GUARANTEE expected=true actual=true ok; RETURN_RATE expected=8 actual=(nothing extracted) MISS,் து எப்டி மாத கேரண்டி எட்டு,
row,SHERPA_WHISPER_TA,T14_noisy_T02.wav,1,2,2956,1127,0.381,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,ட ரு வரும் என்ன,
row,SHERPA_DOLPHIN_SMALL,R01_demo_pitch.wav,0,4,16428,592,0.036,0,6,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS; LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS; BUNDLING expected=true actual=(nothing extracted) MISS; CHARGES expected=false actual=(nothing extracted) MISS,சரிர் இது எப்டி மாதிரி தான் கேர எ ன். லாக்கின் ஒருவஷ வயர் கழி ஃபுல்லா எடுக்கலாம் মি,
row,SHERPA_DOLPHIN_SMALL,T01_guarantee_fd.wav,1,1,5114,177,0.035,0,2,GUARANTEE expected=true actual=(nothing extracted) MISS; RETURN_RATE expected=8 actual=(nothing extracted) MISS,சர் இது எப்டி மாதிரி தான் கேர என்.,
row,SHERPA_DOLPHIN_SMALL,T02_lockin_liquidity.wav,1,1,4422,158,0.036,0,2,LOCK_IN expected=12 actual=(nothing extracted) MISS; LIQUIDITY expected=withdrawAfter:12 actual=(nothing extracted) MISS,லாக்கின் ஒரு வஷம் தான்ர் வன்யர் கழிச்சி ஃபுல்லா எடுக்கலாம்,
row,SHERPA_DOLPHIN_SMALL,T03_bundling.wav,1,1,5114,177,0.035,0,1,BUNDLING expected=true actual=(nothing extracted) MISS,இந்த கல்ச,
row,SHERPA_DOLPHIN_SMALL,T04_charges.wav,1,1,3526,141,0.040,0,1,CHARGES expected=false actual=(nothing extracted) MISS,ஜ எது ீரோ,
