engine,file,duration_s,decode_s,rtf,text
whisper_small_ta,R01_demo_pitch,22.071,16.510,0.7480,சார் இது எப்படி மாதிரிதான் கேரண்டி எட்டு பர்சன்ட் ிட்டர்ன் ாக்கின் ஒரு வரும்தான் சார் ஒன்று கழிச்சு புல்லா எடுக்கலாம் இந்த பாலிசி எடுத்தால் ோன் ஆ
whisper_small_ta,T01_guarantee_fd,5.341,2.963,0.5549,சார் இது எப்டி மாதிரிதான் கேரண்டி எட்
whisper_small_ta,T02_lockin_liquidity,5.387,2.903,0.5389,லாக்கின் ஒரு வரும்தான் சார் ஒன் ா
whisper_small_ta,T03_bundling,5.317,2.851,0.5361,ந்த பாலிசி எடுத்தால் ோன் ஆகும் ச
whisper_small_ta,T04_charges,4.226,2.304,0.5452,சார்் எதுவும் இல்லை சார்
whisper_small_ta,T05_honest_rate,7.430,4.104,0.5523,ரிட்டர் கேரண்டி இல்ல சார் ்டேன்ல நாலு பர்சன் எட்
whisper_small_ta,T06_honest_lockin,5.085,2.717,0.5344,லாக்கின் அ்சு வரும். அதுக்கு முன
whisper_small_ta,T07_selfcorrect,4.249,2.329,0.5482,லாக்கின் மூணு வரும் இல்லல்ல
whisper_small_ta,T08_hedge,3.947,2.081,0.5273,ப்டு எட்டு பர்சென்ட் வரை
whisper_small_ta,T09_conditional,5.689,3.058,0.5375,கேரண்டி இருந்தா எட்டு பர்சன் கிடைக்கும்
whisper_small_ta,T10_english,6.478,3.409,0.5263,ட்் ைக் பிக்் ெபாசிட் கரண்ட் எயிட
whisper_small_ta,T11_numbers,5.782,2.940,0.5085,பிரீமியம் வருத்துக்கு ஒரு ட்சம் இரு
whisper_small_ta,T12_formal_tamil,4.574,2.470,0.5400,து உறுதியான 8% வருமானம் தரும்.
whisper_small_ta,T13_noisy_T01,9.427,3.961,0.4202,து எப்டி மாதிரிதான் கேரண்டி எட்டு பர்சன்ட்
whisper_small_ta,T14_noisy_T02,12.817,3.078,0.2402,லாக்கின் ஒரு வரும் என்ன சார்
dolphin_small,R01_demo_pitch,22.071,1.412,0.0640,ர் எடி மாதிரி கேர எர்  லா வஷர் வயர் க . லகர்ல்ச ர்ஜஸ்வும்ர்ஜீரோ கமிஷன்.
dolphin_small,T01_guarantee_fd,5.341,0.271,0.0507,சர் இது எப்டி மாதிரி தான் கேர என்.
dolphin_small,T02_lockin_liquidity,5.387,0.285,0.0528,லாக்கின் ஒரு வஷ தான்சர் வயர் கழிச்சி ஃபுல்லா எடுக்கலாம்
dolphin_small,T03_bundling,5.317,0.264,0.0496,கல்
dolphin_small,T04_charges,4.226,0.206,0.0487,چارجس  எதுلہ سر زیرو کمমিیشن
dolphin_small,T05_honest_rate,7.430,0.386,0.0519,ரிட்டான் கேரன் இல்லர் இலூஸ்டேசன்ல நாலு எ ண்டு சினாரியோருக்கு.
dolphin_small,T06_honest_lockin,5.085,0.235,0.0463,ரும்மு கிடை
dolphin_small,T07_selfcorrect,4.249,0.230,0.0542,லாக்கின் மூணு வருஷம் இல்ல இல்ல அஞ்சு வஷம்
dolphin_small,T08_hedge,3.947,0.201,0.0508,வரக்கும் வர
dolphin_small,T09_conditional,5.689,0.267,0.0470,ர ர.
dolphin_small,T10_english,6.478,0.304,0.0470,
dolphin_small,T11_numbers,5.782,0.286,0.0494,प्रीீமிியம் த்துக்கு ஒருசவயி டம் பத்துவஷம்
dolphin_small,T12_formal_tamil,4.574,0.243,0.0532,ఇ இது උరుදින ఎట్ట సదවි வరుමාనంతారు
dolphin_small,T13_noisy_T01,9.427,0.456,0.0484,இது எஃப்டி மாதிரி கேர எ பசன்.
dolphin_small,T14_noisy_T02,12.817,0.696,0.0543,लॉकनवशना सर?
dolphin_base,R01_demo_pitch,22.071,0.581,0.0263,சரிர்தை எடி மாதிரிதா கேரட் எட்டு பசன் ட்ரிட்டன். லக்கின் ஒருவஷம்ந்தாசர் வன்யர் கழிச்சி ஃபுள்ள எடுக்கலாம் இந்த போலீசிடுத்தாதா லோன்சாஷ ஆகும்ர் இதுகம்ம்பல் சரிரி சார்ஜஸ் எதுவும் இல்ல ர் ஜீரோமிஷன்.
dolphin_base,T01_guarantee_fd,5.341,0.117,0.0219,சர் இதை எ எப்படிடி மாதிரிதா கேேரட்டிீட் எட்டு பசன் ட்ரிட்டன்.
dolphin_base,T02_lockin_liquidity,5.387,0.116,0.0216,லக்கின் ஒருவஷம்ந்தாசர் வன்யர் கழிச்சி ஃபுள்ள எடுக்கலாம்.
dolphin_base,T03_bundling,5.317,0.135,0.0254,இந்த போலீசித்ததா லோன்சாஷனாகும்ர் இது கம்ம்பல் சரிரி.
dolphin_base,T04_charges,4.226,0.120,0.0284,چارজস  এদুইলাসর জিরো কমেশন।
dolphin_base,T05_honest_rate,7.430,0.204,0.0275,ரிட்டன்கேரட்டி இல்லசார் இலயூஸ்ட்ஷல நாலு பசன்ட் எட்டு பசன் ரெண்டு சினாரியோருக்கு.
dolphin_base,T06_honest_lockin,5.085,0.127,0.0249,லாக்கின் அஞ்சு வருஷம் அதுக்கு முன்னாடி சரண்டர் வாலிிய கிடையாது.
dolphin_base,T07_selfcorrect,4.249,0.095,0.0223,lock மூறுவష இல்ல இல்ல அஞ்சவஷம்
dolphin_base,T08_hedge,3.947,0.078,0.0198,அப்टूூ எட்டு பசెன்ட்  வரைக்கும்  வரர்லாசர்
dolphin_base,T09_conditional,5.689,0.123,0.0217,கேரடா இருந்தா எ பசன்கிடைக்கும் ஆனா கேரல்ல
